,name,url,Avg_Rate,Location,Price,Quality,Service,Space
812,Võ Roof Garden - Nhà Hàng Việt,/ho-chi-minh/vo-roof-garden-nha-hang-viet,9.266,9.3,8.7,9.3,9.3,9.7
813,Hải Sản Bốn Biển,/ho-chi-minh/hai-san-bon-bien,5.6,5.0,5.0,5.0,8.0,5.0
814,The Chopsticks Saigon Restaurant,/ho-chi-minh/the-chopsticks-saigon-restaurant,7.334,6.7,7.0,7.3,8.0,7.7
815,Saigon Xiao Mei - Món Hoa,/ho-chi-minh/quan-an-sai-gon-938,6.964,7.2,6.6,7.3,7.0,6.7
816,McDonald's - SC VivoCity,/ho-chi-minh/mcdonald-s-sc-vivocity,7.102,7.5,6.7,7.2,7.0,7.2
817,Lotteria - Lotte Mart Nam Sài Gòn,/ho-chi-minh/lotteria-lotte-mart-nam-sai-gon,6.546,7.1,6.6,6.4,6.2,6.5
818,Sushi Hokkaido Sachi 北海道サチ - Nguyễn Trãi,/ho-chi-minh/sushi-hokkaido-sachi-nguyen-trai,7.866,8.0,7.1,8.4,7.9,8.0
819,Chảo Cá - AEON Mall Tân Phú,/ho-chi-minh/chao-ca-aeon-mall-tan-phu,8.268,7.3,8.7,9.0,8.7,7.7
820,Surf Shack Restaurant - Tống Hữu Định,/ho-chi-minh/surf-shack-restaurant,8.4,8.0,8.0,9.0,8.0,9.0
821,Kichi Kichi Lẩu Băng Chuyền - Tân Sơn Nhất,/ho-chi-minh/kichi-kichi-lau-bang-chuyen-tan-son-nhat-tower,8.928,8.1,9.1,9.1,9.2,9.1
822,Quán Cua Hoa,/ho-chi-minh/quan-cua-hoa,7.176,7.1,6.8,7.8,7.1,7.1
823,Domino's Pizza - Sân Bay Tân Sơn Nhất,/ho-chi-minh/domino-s-pizza-san-bay-tan-son-nhat,7.76,7.6,7.8,8.0,8.0,7.4
824,Pizza Inn - Phú Mỹ Hưng,/ho-chi-minh/pizza-inn-nguyen-duc-canh,7.574,7.6,7.3,7.9,7.6,7.5
825,Cơm Tấm Cali 23 - Phổ Quang,/ho-chi-minh/com-tam-cali-23-pho-quang,8.432,8.8,8.2,8.3,8.5,8.3
826,Calibre Lounge - Palace Hotel Saigon,/ho-chi-minh/calibre-lounge-palace-hotel-saigon,7.1,7.9,6.0,7.3,7.3,7.1
827,Gà Rán Popeyes - Lê Đại Hành,/ho-chi-minh/ga-ran-popeyes-le-dai-hanh,6.85,7.1,7.0,6.9,6.6,6.6
828,Lotteria - Bạch Đằng,/ho-chi-minh/lotteria-bach-dang,5.302,6.3,5.3,4.7,4.6,5.6
829,Nhà Hàng Hải Đăng 1,/ho-chi-minh/nha-hang-hai-dang-1,7.6,7.3,7.7,8.0,7.5,7.5
830,Okie BBQ - Nhà Hàng Nướng,/ho-chi-minh/okie-bbq-nha-hang-nuong,7.2,7.5,6.8,8.0,7.5,6.3
831,Moo Beef Steak Prime - Ngô Đức Kế,/ho-chi-minh/muse-dining-grill,8.872,9.1,7.9,9.2,8.9,9.3
832,Chuyên Gia Lẩu,/ho-chi-minh/chuyen-gia-lau,7.784,8.0,7.3,8.0,8.2,7.5
833,Nhà Hàng Sao Bắc Đẩu - Tân Sơn Nhất Hotel,/ho-chi-minh/nha-hang-sao-bac-dau-tan-son-nhat-hotel,8.432,8.3,7.9,8.5,8.9,8.6
834,Food House Restaurant,/ho-chi-minh/food-house-restaurant,6.234,6.7,6.0,5.9,5.9,6.7
835,Gogi House - Quán Nướng Hàn Quốc - Lotte Mart Gò Vấp,/ho-chi-minh/gogi-house-quan-nuong-han-quoc-lotte-mart-go-vap,7.086,7.6,6.8,7.1,6.6,7.3
836,Việt Chay - Chùa Vĩnh Nghiêm,/ho-chi-minh/viet-chay-chua-vinh-nghiem,6.746,7.1,6.4,6.9,6.4,6.9
